ensembl_gene_id	description
ENSOCUG00000017388	
ENSOCUG00000029573	
ENSOCUG00000005387	X-ray repair cross complementing 1 
ENSOCUG00000029534	
ENSOCUG00000029430	
ENSOCUG00000022539	
ENSOCUG00000016577	N(alpha)-acetyltransferase 40, NatD catalytic subunit 
ENSOCUG00000024609	
ENSOCUG00000021435	
ENSOCUG00000026331	
ENSOCUG00000025748	sperm equatorial segment protein 1 
ENSOCUG00000023579	
ENSOCUG00000023450	
ENSOCUG00000001592	
ENSOCUG00000015805	NADPH oxidase 5 
ENSOCUG00000027785	
ENSOCUG00000026753	kynurenine aminotransferase 1 
ENSOCUG00000026036	
ENSOCUG00000027634	
ENSOCUG00000027932	syntaxin 10 
ENSOCUG00000007434	peptidoglycan recognition protein 1 
ENSOCUG00000023696	
ENSOCUG00000007900	REST corepressor 2 
ENSOCUG00000029268	
ENSOCUG00000023394	
ENSOCUG00000024268	intraflagellar transport 140 
ENSOCUG00000021928	
ENSOCUG00000020989	
ENSOCUG00000026254	coiled-coil domain containing 159 
ENSOCUG00000022790	
ENSOCUG00000028182	
ENSOCUG00000022221	
ENSOCUG00000008094	heparan-alpha-glucosaminide N-acetyltransferase 
ENSOCUG00000000195	
ENSOCUG00000013091	glutaredoxin 3 
ENSOCUG00000024239	
ENSOCUG00000021934	tRNA methyltransferase 1 
ENSOCUG00000007750	
ENSOCUG00000022101	
ENSOCUG00000014183	H6 family homeobox 2 
ENSOCUG00000016301	
ENSOCUG00000029285	
ENSOCUG00000000304	adaptor related protein complex 4 mu 1 subunit 
ENSOCUG00000023275	
ENSOCUG00000026733	
ENSOCUG00000025380	fibrosin like 1 
ENSOCUG00000011336	metastasis associated 1 
ENSOCUG00000021167	
ENSOCUG00000017446	BUB3, mitotic checkpoint protein 
ENSOCUG00000024248	
ENSOCUG00000025053	
ENSOCUG00000023353	
ENSOCUG00000003959	DENN domain containing 3 
ENSOCUG00000007203	
ENSOCUG00000005371	thrombospondin 2 
ENSOCUG00000029257	
ENSOCUG00000025282	
ENSOCUG00000008654	
ENSOCUG00000021672	
ENSOCUG00000021637	
ENSOCUG00000011452	
ENSOCUG00000007501	
ENSOCUG00000021692	
ENSOCUG00000025381	RAB3D, member RAS oncogene family 
ENSOCUG00000008677	neuritin 1 
ENSOCUG00000017501	G protein-coupled receptor 26 
ENSOCUG00000002972	
ENSOCUG00000021172	
ENSOCUG00000004972	
ENSOCUG00000007884	microtubule affinity regulating kinase 2 
ENSOCUG00000027913	
ENSOCUG00000015193	solute carrier family 45 member 4 
ENSOCUG00000016759	carbonyl reductase 3 
ENSOCUG00000020917	phosphoinositide-3-kinase adaptor protein 1 
ENSOCUG00000010941	carboxypeptidase X, M14 family member 2 
ENSOCUG00000006237	F-box protein, helicase, 18 
ENSOCUG00000027898	
ENSOCUG00000021359	
ENSOCUG00000014165	phenylalanyl-tRNA synthetase 2, mitochondrial 
ENSOCUG00000029076	
ENSOCUG00000008915	early B-cell factor 3 
ENSOCUG00000001729	leucine rich repeat containing 8 family member A 
ENSOCUG00000001810	tyrosylprotein sulfotransferase 2 
ENSOCUG00000001860	transmembrane protein 72 
ENSOCUG00000007725	protein-O-mannose kinase 
ENSOCUG00000016761	dopey family member 2 
ENSOCUG00000012588	ras homolog family member U 
ENSOCUG00000024075	
ENSOCUG00000023362	LYR motif containing 4 
ENSOCUG00000017909	O-6-methylguanine-DNA methyltransferase 
ENSOCUG00000004407	chromodomain Y-like 
ENSOCUG00000003877	aryl hydrocarbon receptor  
ENSOCUG00000008744	transmembrane protein 205 
ENSOCUG00000022948	
ENSOCUG00000001402	
ENSOCUG00000022944	
ENSOCUG00000026561	
ENSOCUG00000027124	Rab acceptor 1 
ENSOCUG00000009538	tetraspanin 16 
ENSOCUG00000005396	phospholipase A2 inhibitor and LY6/PLAUR domain containing 
ENSOCUG00000022269	crystallin beta B1 
ENSOCUG00000004289	
ENSOCUG00000024135	
ENSOCUG00000027609	
ENSOCUG00000004446	VPS37B, ESCRT-I subunit 
ENSOCUG00000010260	Ras association domain family member 4 
ENSOCUG00000017395	
ENSOCUG00000012706	
ENSOCUG00000022297	
ENSOCUG00000024680	
ENSOCUG00000017676	ATPase Na+/K+ transporting subunit alpha 3 
ENSOCUG00000023924	
ENSOCUG00000000966	ubiquitin conjugating enzyme E2 J2 
ENSOCUG00000012360	WD repeat domain 34 
ENSOCUG00000008743	nicotinamide nucleotide adenylyltransferase 2 
ENSOCUG00000005402	immunity related GTPase Q 
ENSOCUG00000022378	
ENSOCUG00000016871	
ENSOCUG00000017650	PBX/knotted 1 homeobox 1 
ENSOCUG00000015068	kinesin family member 23 
ENSOCUG00000011911	solute carrier family 47 member 2 
ENSOCUG00000000300	minichromosome maintenance complex component 7 
ENSOCUG00000014731	amine oxidase, copper containing 1 
ENSOCUG00000016634	zinc finger protein 576 
ENSOCUG00000025275	olfactory receptor family 2 subfamily L member 13 
ENSOCUG00000016620	zinc finger protein 428 
ENSOCUG00000016625	serine/arginine repetitive matrix 5 
ENSOCUG00000001136	transmembrane protein 204 
ENSOCUG00000029567	
ENSOCUG00000004247	sarcoglycan zeta 
ENSOCUG00000026547	cell adhesion molecule 4 
ENSOCUG00000022213	chromosome 8 open reading frame 48 
ENSOCUG00000006521	chromosome 10 open reading frame 10 
ENSOCUG00000000354	ribonuclease P/MRP subunit p40 
ENSOCUG00000022764	brain enriched guanylate kinase associated 
ENSOCUG00000004975	cramped chromatin regulator homolog 1 
ENSOCUG00000027955	
ENSOCUG00000021601	scavenger receptor class B member 1 
ENSOCUG00000022728	
ENSOCUG00000006626	exonuclease 3'-5' domain containing 2 
ENSOCUG00000001382	zinc finger protein 22 
ENSOCUG00000012734	
ENSOCUG00000029671	
ENSOCUG00000016895	transmembrane protein 176B 
ENSOCUG00000022082	SH2B adaptor protein 2 
ENSOCUG00000026914	
ENSOCUG00000012332	spectrin alpha, non-erythrocytic 1 
ENSOCUG00000001467	DLC1 Rho GTPase activating protein 
ENSOCUG00000025611	
ENSOCUG00000024813	
ENSOCUG00000007504	V-set and transmembrane domain containing 4 
ENSOCUG00000004068	carbohydrate sulfotransferase 8 
ENSOCUG00000014869	zinc finger protein 623 
ENSOCUG00000028177	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1559 (ORYCUNV1R1559), mRNA. 
ENSOCUG00000023967	
ENSOCUG00000007991	
ENSOCUG00000012728	
ENSOCUG00000016155	
ENSOCUG00000022571	
ENSOCUG00000006726	
ENSOCUG00000022240	
ENSOCUG00000023311	
ENSOCUG00000023309	
ENSOCUG00000022376	
ENSOCUG00000010281	DDB1 and CUL4 associated factor 5 
ENSOCUG00000012471	transmembrane 9 superfamily member 3 
ENSOCUG00000014411	PRKR interacting protein 1 (IL11 inducible) 
ENSOCUG00000027168	
ENSOCUG00000027400	plasminogen activator, urokinase receptor 
ENSOCUG00000017286	family with sequence similarity 170 member B 
ENSOCUG00000003128	chromosome 10 open reading frame 128 
ENSOCUG00000025892	
ENSOCUG00000025377	
ENSOCUG00000027820	
ENSOCUG00000000980	
ENSOCUG00000005976	
ENSOCUG00000005887	SMG7, nonsense mediated mRNA decay factor 
ENSOCUG00000029721	
ENSOCUG00000029428	GTPase, IMAP family member 2 
ENSOCUG00000029282	
ENSOCUG00000021463	
ENSOCUG00000023856	
ENSOCUG00000002901	
ENSOCUG00000007865	
ENSOCUG00000012720	tripartite motif containing 58 
ENSOCUG00000024545	PAS domain containing serine/threonine kinase 
ENSOCUG00000015551	
ENSOCUG00000028062	
ENSOCUG00000016148	
ENSOCUG00000021192	
ENSOCUG00000024278	
ENSOCUG00000027321	
ENSOCUG00000006567	F-box and leucine rich repeat protein 18 
ENSOCUG00000006248	
ENSOCUG00000001150	GTPase, IMAP family member 8 
ENSOCUG00000016790	
ENSOCUG00000024151	
ENSOCUG00000025473	matrix metallopeptidase 17 
ENSOCUG00000005867	actin beta 
ENSOCUG00000022855	
ENSOCUG00000016142	family with sequence similarity 217 member A 
ENSOCUG00000024839	
ENSOCUG00000023741	ORAI calcium release-activated calcium modulator 2 
ENSOCUG00000015087	
ENSOCUG00000027615	
ENSOCUG00000023686	
ENSOCUG00000015449	actinin alpha 1 
ENSOCUG00000026993	
ENSOCUG00000025339	
ENSOCUG00000022711	
ENSOCUG00000026340	MORC family CW-type zinc finger 3 
ENSOCUG00000000425	pre-mRNA processing factor 4B 
ENSOCUG00000006864	
ENSOCUG00000005876	
ENSOCUG00000027549	
ENSOCUG00000012008	leucine rich repeats and WD repeat domain containing 1 
ENSOCUG00000020961	
ENSOCUG00000024872	chromosome 11 open reading frame 84 
ENSOCUG00000026402	
ENSOCUG00000004883	replication initiator 1 
ENSOCUG00000011906	aldehyde dehydrogenase 3 family member A2 
ENSOCUG00000023404	
ENSOCUG00000027378	
ENSOCUG00000003429	protein phosphatase 1 regulatory subunit 7 
ENSOCUG00000023043	transducin like enhancer of split 3 
ENSOCUG00000015794	ring finger protein 216 
ENSOCUG00000029512	
ENSOCUG00000021330	
ENSOCUG00000010155	
ENSOCUG00000021049	
ENSOCUG00000012714	olfactory receptor family 11 subfamily L member 1 
ENSOCUG00000000402	anterior gradient 3, protein disulphide isomerase family member 
ENSOCUG00000024898	KIAA1456 
ENSOCUG00000027508	reticulon 3 
ENSOCUG00000029404	
ENSOCUG00000002786	SMG9, nonsense mediated mRNA decay factor 
ENSOCUG00000007943	retinoic acid receptor responder 2 
ENSOCUG00000025228	
ENSOCUG00000023882	glutamate ionotropic receptor kainate type subunit 5 
ENSOCUG00000022436	
ENSOCUG00000000298	COP9 signalosome subunit 6 
ENSOCUG00000003578	anterior gradient 2, protein disulphide isomerase family member 
ENSOCUG00000002009	Oryctolagus cuniculus neutrophil cytosolic factor 2 (NCF2), mRNA. 
ENSOCUG00000021323	
ENSOCUG00000016610	
ENSOCUG00000027269	
ENSOCUG00000021991	
ENSOCUG00000012931	diacylglycerol O-acyltransferase 1 
ENSOCUG00000005245	Wolf-Hirschhorn syndrome candidate 1 
ENSOCUG00000014554	
ENSOCUG00000015548	pseudopodium enriched atypical kinase 1 
ENSOCUG00000016907	RB associated KRAB zinc finger 
ENSOCUG00000025504	
ENSOCUG00000024978	
ENSOCUG00000026949	
ENSOCUG00000023609	
ENSOCUG00000022647	
ENSOCUG00000010162	
ENSOCUG00000029545	
ENSOCUG00000023336	
ENSOCUG00000001392	ring finger protein 170 
ENSOCUG00000012667	high density lipoprotein binding protein 
ENSOCUG00000029251	
ENSOCUG00000007913	zinc finger protein 862 
ENSOCUG00000029291	
ENSOCUG00000001691	atlastin GTPase 3 
ENSOCUG00000029008	
ENSOCUG00000008090	DEAH-box helicase 37 
ENSOCUG00000008958	zinc finger protein 12 
ENSOCUG00000024494	
ENSOCUG00000029406	
ENSOCUG00000029271	
ENSOCUG00000003906	
ENSOCUG00000001391	THAP domain containing 1 
ENSOCUG00000001975	glutamate rich 1 
ENSOCUG00000016422	thyroid peroxidase 
ENSOCUG00000015415	testis development related protein 
ENSOCUG00000011329	tetraspanin 13 
ENSOCUG00000009516	cholinergic receptor nicotinic alpha 6 subunit 
ENSOCUG00000026322	
ENSOCUG00000014008	chromatin assembly factor 1 subunit B 
ENSOCUG00000021076	
ENSOCUG00000007100	F-box protein 25 
ENSOCUG00000007890	SCO-spondin 
ENSOCUG00000000596	phospholipase A2 group XVI 
ENSOCUG00000000632	claudin 23 
ENSOCUG00000025402	
ENSOCUG00000024876	
ENSOCUG00000005648	high mobility group 20A 
ENSOCUG00000008909	
ENSOCUG00000026087	
ENSOCUG00000017357	
ENSOCUG00000014024	claudin 14 
ENSOCUG00000003621	
ENSOCUG00000022432	malignant fibrous histiocytoma amplified sequence 1 
ENSOCUG00000024030	replication protein A2 
ENSOCUG00000005390	zinc finger protein 3 
ENSOCUG00000027289	
ENSOCUG00000006168	potassium calcium-activated channel subfamily N member 4 
ENSOCUG00000024956	
ENSOCUG00000026233	HRAS like suppressor 2 
ENSOCUG00000000363	
ENSOCUG00000027729	
ENSOCUG00000000634	exoribonuclease 1 
ENSOCUG00000015340	
ENSOCUG00000012903	single-minded family bHLH transcription factor 2 
ENSOCUG00000005974	leucine rich repeat and Ig domain containing 1 
ENSOCUG00000010300	galectin 12 
ENSOCUG00000023254	
ENSOCUG00000026144	outer dense fiber of sperm tails 3 like 1 
ENSOCUG00000005626	DNA polymerase nu 
ENSOCUG00000016419	basic leucine zipper and W2 domains 2 
ENSOCUG00000003308	family with sequence similarity 50 member B 
ENSOCUG00000026705	
ENSOCUG00000015333	zinc finger with KRAB and SCAN domains 1 
ENSOCUG00000016890	plasmalemma vesicle associated protein 
ENSOCUG00000002185	cholinergic receptor nicotinic alpha 4 subunit 
ENSOCUG00000025816	
ENSOCUG00000005123	cholinergic receptor nicotinic beta 3 subunit 
ENSOCUG00000012906	SPARC related modular calcium binding 2 
ENSOCUG00000003185	chondroitin sulfate proteoglycan 4 
ENSOCUG00000010294	HRAS like suppressor family member 5 
ENSOCUG00000001541	BRI3 binding protein 
ENSOCUG00000027203	alpha-2-glycoprotein 1, zinc-binding 
ENSOCUG00000012436	gap junction protein gamma 3 
ENSOCUG00000021247	PX domain containing 1 
ENSOCUG00000010173	pleckstrin homology like domain family B member 1 
ENSOCUG00000029575	holocarboxylase synthetase 
ENSOCUG00000003477	protein phosphatase 1 regulatory subunit 3B 
ENSOCUG00000013476	
ENSOCUG00000015162	microfibrillar associated protein 4 
ENSOCUG00000021051	ripply transcriptional repressor 3 
ENSOCUG00000027803	SH3 domain containing GRB2 like 3, endophilin A3 
ENSOCUG00000029579	
ENSOCUG00000024710	
ENSOCUG00000004402	ubiquitin specific peptidase 30 
ENSOCUG00000022451	phosphatidylinositol glycan anchor biosynthesis class P 
ENSOCUG00000017773	tankyrase 
ENSOCUG00000027976	
ENSOCUG00000021362	HAUS augmin like complex subunit 3 
ENSOCUG00000025347	
ENSOCUG00000028117	
ENSOCUG00000028001	
ENSOCUG00000010469	solute carrier family 22 member 23 
ENSOCUG00000005063	MAX dimerization protein 4 
ENSOCUG00000021044	
ENSOCUG00000006611	
ENSOCUG00000022848	sorting nexin 33 
ENSOCUG00000029633	
ENSOCUG00000015154	mitogen-activated protein kinase 7 
ENSOCUG00000009993	dishevelled binding antagonist of beta catenin 2 
ENSOCUG00000021524	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase 
ENSOCUG00000026110	
ENSOCUG00000024001	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1660 (ORYCUNV1R1660), mRNA. 
ENSOCUG00000003675	
ENSOCUG00000016234	SV2 related protein 
ENSOCUG00000003483	tetratricopeptide repeat domain 3 
ENSOCUG00000025543	
ENSOCUG00000004690	IMP3, U3 small nucleolar ribonucleoprotein 
ENSOCUG00000027307	ribosomal protein S21 
ENSOCUG00000007728	tweety family member 2 
ENSOCUG00000005827	
ENSOCUG00000028225	
ENSOCUG00000015421	solute carrier family 20 member 2 
ENSOCUG00000010464	proteasome assembly chaperone 4 
ENSOCUG00000004377	zinc finger FYVE-type containing 28 
ENSOCUG00000021558	actin related protein 2/3 complex subunit 5 
ENSOCUG00000005408	
ENSOCUG00000003145	uracil DNA glycosylase 
ENSOCUG00000012314	GLE1, RNA export mediator 
ENSOCUG00000014634	zinc finger protein 45 
ENSOCUG00000013361	
ENSOCUG00000024786	
ENSOCUG00000008801	snurportin 1 
ENSOCUG00000006497	peroxidasin 
ENSOCUG00000013014	tubulin beta 2B class IIb 
ENSOCUG00000013259	milk fat globule-EGF factor 8 protein 
ENSOCUG00000024920	
ENSOCUG00000002672	ADAMTS like 3 
ENSOCUG00000002667	
ENSOCUG00000027051	
ENSOCUG00000017842	zinc finger protein 235 
ENSOCUG00000000747	zinc finger protein 112 
ENSOCUG00000025131	
ENSOCUG00000023366	WD repeat domain 4 
ENSOCUG00000009827	tubulin beta 2A class IIa 
ENSOCUG00000003168	ZFP36 ring finger protein like 1 
ENSOCUG00000016622	
ENSOCUG00000029664	
ENSOCUG00000016409	ankyrin repeat and MYND domain containing 2 
ENSOCUG00000029639	zinc finger protein 180 
ENSOCUG00000027046	
ENSOCUG00000004998	
ENSOCUG00000000597	RAD51 paralog B 
ENSOCUG00000026280	poliovirus receptor 
ENSOCUG00000012600	protein tyrosine phosphatase, non-receptor type 9 
ENSOCUG00000022417	
ENSOCUG00000023169	
ENSOCUG00000022523	
ENSOCUG00000012921	heat shock transcription factor 1 
ENSOCUG00000026021	
ENSOCUG00000023837	
ENSOCUG00000000593	zinc finger FYVE-type containing 26 
ENSOCUG00000025181	
ENSOCUG00000003467	prostate stem cell antigen 
ENSOCUG00000025189	
ENSOCUG00000024933	
ENSOCUG00000023365	STX16-NPEPL1 readthrough (NMD candidate) 
ENSOCUG00000003231	TBC1 domain family member 14 
ENSOCUG00000001322	D-amino-acid oxidase  
ENSOCUG00000025169	
ENSOCUG00000016403	leucine rich repeat containing 72 
ENSOCUG00000021099	
ENSOCUG00000021802	
ENSOCUG00000009825	biphenyl hydrolase like 
ENSOCUG00000022963	
ENSOCUG00000003720	dual specificity phosphatase 4 
ENSOCUG00000012541	sclerostin domain containing 1 
ENSOCUG00000029329	
ENSOCUG00000008600	Oryctolagus cuniculus N-formyl peptide receptor (FPR), mRNA. 
ENSOCUG00000026591	isoprenoid synthase domain containing 
ENSOCUG00000017730	family with sequence similarity 193 member A 
ENSOCUG00000022093	aggrecan 
ENSOCUG00000024392	crystallin beta A4 
ENSOCUG00000015500	septin 2 
ENSOCUG00000007432	acetyl-CoA carboxylase beta 
ENSOCUG00000027485	
ENSOCUG00000027669	B9 domain containing 1 
ENSOCUG00000008606	
ENSOCUG00000026941	mesenchyme homeobox 2 
ENSOCUG00000010184	trehalase precursor  
ENSOCUG00000013849	
ENSOCUG00000027910	
ENSOCUG00000029047	
ENSOCUG00000003982	coronin 2B 
ENSOCUG00000023380	cytochrome P450 3A6  
ENSOCUG00000024942	
ENSOCUG00000010691	
ENSOCUG00000009400	dynein axonemal intermediate chain 2 
ENSOCUG00000009016	testis and ovary specific PAZ domain containing 1 
ENSOCUG00000028036	
ENSOCUG00000026277	
ENSOCUG00000022172	
ENSOCUG00000024493	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1671 (ORYCUNV1R1671), mRNA. 
ENSOCUG00000024583	
ENSOCUG00000012380	aminopeptidase-like 1 
ENSOCUG00000011791	receptor interacting serine/threonine kinase 1 
ENSOCUG00000025531	
ENSOCUG00000010479	holocytochrome c synthase 
ENSOCUG00000025814	
ENSOCUG00000021807	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1582 (ORYCUNV1R1582), mRNA. 
ENSOCUG00000001409	epsin 2 
ENSOCUG00000021611	
ENSOCUG00000012298	outer dense fiber of sperm tails 2 
ENSOCUG00000006495	abhydrolase domain containing 5 
ENSOCUG00000003266	SIN3 transcription regulator family member A 
ENSOCUG00000024318	voltage dependent anion channel 3 
ENSOCUG00000004550	
ENSOCUG00000012172	stabilizer of axonemal microtubules 2 
ENSOCUG00000026824	
ENSOCUG00000029157	
ENSOCUG00000010033	TNFAIP3 interacting protein 2 
ENSOCUG00000024512	bestrophin 2 
ENSOCUG00000029224	
ENSOCUG00000029413	
ENSOCUG00000017586	alkylglycerol monooxygenase 
ENSOCUG00000002237	
ENSOCUG00000024501	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1658 (ORYCUNV1R1658), mRNA. 
ENSOCUG00000000592	retinol dehydrogenase 12 (all-trans/9-cis/11-cis) 
ENSOCUG00000025234	
ENSOCUG00000024692	
ENSOCUG00000016499	NAD(P)H quinone dehydrogenase 2 
ENSOCUG00000012163	elongation factor like GTPase 1 
ENSOCUG00000021697	
ENSOCUG00000029468	
ENSOCUG00000026584	
ENSOCUG00000000161	SH3 domain binding protein 2 
ENSOCUG00000017090	protein phosphatase 2 scaffold subunit Aalpha 
ENSOCUG00000013433	slingshot protein phosphatase 1 
ENSOCUG00000022556	
ENSOCUG00000000086	
ENSOCUG00000009404	kinesin family member 19 
ENSOCUG00000027276	
ENSOCUG00000023767	
ENSOCUG00000009064	FERM, ARH/RhoGEF and pleckstrin domain protein 2 
ENSOCUG00000027443	
ENSOCUG00000021460	
ENSOCUG00000013745	
ENSOCUG00000014076	diacylglycerol kinase beta 
ENSOCUG00000022409	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1662 (ORYCUNV1R1662), mRNA. 
ENSOCUG00000016863	
ENSOCUG00000017555	
ENSOCUG00000008266	
ENSOCUG00000010091	
ENSOCUG00000017398	prosaposin-like 1 (gene/pseudogene) 
ENSOCUG00000021234	
ENSOCUG00000001193	
ENSOCUG00000025127	
ENSOCUG00000008275	anoctamin 10 
ENSOCUG00000024264	iroquois homeobox 1 
ENSOCUG00000017968	
ENSOCUG00000025921	mitochondrial ribosomal protein S11 
ENSOCUG00000029539	
ENSOCUG00000011603	mex-3 RNA binding family member B 
ENSOCUG00000022242	
ENSOCUG00000005186	
ENSOCUG00000006216	serpin family B member 6 
ENSOCUG00000004282	CD248 molecule 
ENSOCUG00000002496	DExD-box helicase 39A 
ENSOCUG00000024559	carcinoembryonic antigen related cell adhesion molecule 16 
ENSOCUG00000027737	
ENSOCUG00000024333	adducin 1 
ENSOCUG00000025320	pleckstrin homology like domain family B member 3 
ENSOCUG00000014233	coronin 1C 
ENSOCUG00000026861	
ENSOCUG00000001298	dickkopf WNT signaling pathway inhibitor 4 
ENSOCUG00000008271	
ENSOCUG00000021571	
ENSOCUG00000025004	
ENSOCUG00000029080	
ENSOCUG00000009408	BTB domain containing 17 
ENSOCUG00000026046	
ENSOCUG00000001362	mitochondrial ribosomal protein L46 
ENSOCUG00000025733	
ENSOCUG00000001295	DNA polymerase beta 
ENSOCUG00000003258	cytochrome c oxidase subunit 5A 
ENSOCUG00000007715	
ENSOCUG00000007939	zinc finger and SCAN domain containing 25 
ENSOCUG00000021681	
ENSOCUG00000024527	
ENSOCUG00000007772	transmembrane channel like 3 
ENSOCUG00000000590	retinol dehydrogenase 11 (all-trans/9-cis/11-cis) 
ENSOCUG00000014777	peptidyl arginine deiminase 2 
ENSOCUG00000007932	
ENSOCUG00000007189	DAN domain BMP antagonist family member 5 
ENSOCUG00000005849	DEAD-box helicase 6 
ENSOCUG00000029388	
ENSOCUG00000029544	
ENSOCUG00000008265	SNF related kinase 
ENSOCUG00000013536	
ENSOCUG00000009449	
ENSOCUG00000013933	
ENSOCUG00000025566	
ENSOCUG00000000543	ring finger protein 144B 
ENSOCUG00000022707	G protein-coupled receptor 142 
ENSOCUG00000021459	
ENSOCUG00000027050	LY6/PLAUR domain containing 3 
ENSOCUG00000011272	ariadne RBR E3 ubiquitin protein ligase 1 
ENSOCUG00000010148	
ENSOCUG00000005091	serpin family B member 9 
ENSOCUG00000024957	
ENSOCUG00000013504	chromosome 15 open reading frame 39 
ENSOCUG00000023056	
ENSOCUG00000008264	chromosome 19 open reading frame 43 
ENSOCUG00000009446	
ENSOCUG00000005987	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) 
ENSOCUG00000016606	ETS variant 1 
ENSOCUG00000026934	
ENSOCUG00000029523	
ENSOCUG00000008076	
ENSOCUG00000002447	zinc finger with KRAB and SCAN domains 5 
ENSOCUG00000001134	Oryctolagus cuniculus vomeronasal 1 receptor oryCunV1R1599 (ORYCUNV1R1599), mRNA. 
ENSOCUG00000005990	family with sequence similarity 198 member A 
ENSOCUG00000027629	
